ORF	KEGGID	Pathway
YLR182W	4011	MAPK signaling pathway - yeast
YLR182W	4111	Cell cycle - yeast
YLR182W	4113	Meiosis - yeast
YLR185W	3010	Ribosome
YLR186W	3008	Ribosome biogenesis in eukaryotes
YLR187W	3018	RNA degradation
YLR191W	4146	Peroxisome
YLR192C	3013	RNA transport
YLR197W	3008	Ribosome biogenesis in eukaryotes
YLR206W	4144	Endocytosis
YLR207W	4141	Protein processing in endoplasmic reticulum
YLR208W	3013	RNA transport
YLR208W	4141	Protein processing in endoplasmic reticulum
YLR209C	230	Purine metabolism
YLR209C	240	Pyrimidine metabolism
YLR209C	760	Nicotinate and nicotinamide metabolism
YLR209C	1100	Metabolic pathways
YLR209C	1110	Biosynthesis of secondary metabolites
YLR210W	4111	Cell cycle - yeast
YLR210W	4113	Meiosis - yeast
YLR222C	3008	Ribosome biogenesis in eukaryotes
tL(UAG)L1	970	Aminoacyl-tRNA biosynthesis
YLR229C	4011	MAPK signaling pathway - yeast
YLR229C	4144	Endocytosis
tI(UAU)L	970	Aminoacyl-tRNA biosynthesis
YLR231C	380	Tryptophan metabolism
YLR231C	1100	Metabolic pathways
YLR234W	3440	Homologous recombination
YLR239C	785	Lipoic acid metabolism
YLR239C	1100	Metabolic pathways
YLR240W	562	Inositol phosphate metabolism
YLR240W	1100	Metabolic pathways
YLR240W	4070	Phosphatidylinositol signaling system
YLR240W	4140	Regulation of autophagy
YLR240W	4145	Phagosome
YLR245C	240	Pyrimidine metabolism
YLR245C	1100	Metabolic pathways
tL(CAA)L	970	Aminoacyl-tRNA biosynthesis
YLR251W	4146	Peroxisome
tA(AGC)L	970	Aminoacyl-tRNA biosynthesis
YLR258W	500	Starch and sucrose metabolism
YLR259C	3018	RNA degradation
YLR260W	600	Sphingolipid metabolism
YLR260W	1100	Metabolic pathways
YLR263W	4113	Meiosis - yeast
YLR264W	3010	Ribosome
YLR265C	3450	Non-homologous end-joining
YLR268W	4130	SNARE interactions in vesicular transport
YLR268W	4145	Phagosome
YLR270W	3018	RNA degradation
YLR272C	4111	Cell cycle - yeast
tV(AAC)L	970	Aminoacyl-tRNA biosynthesis
YLR274W	3030	DNA replication
YLR274W	4111	Cell cycle - yeast
YLR274W	4113	Meiosis - yeast
YLR275W	3040	Spliceosome
YLR277C	3015	mRNA surveillance pathway
YLR286C	520	Amino sugar and nucleotide sugar metabolism
YLR287C-A	3010	Ribosome
YLR288C	4111	Cell cycle - yeast
YLR288C	4113	Meiosis - yeast
YLR291C	3013	RNA transport
YLR293C	3008	Ribosome biogenesis in eukaryotes
YLR293C	3013	RNA transport
YLR295C	190	Oxidative phosphorylation
YLR295C	1100	Metabolic pathways
YLR298C	3040	Spliceosome
YLR299W	430	Taurine and hypotaurine metabolism
YLR299W	460	Cyanoamino acid metabolism
YLR299W	480	Glutathione metabolism
YLR299W	590	Arachidonic acid metabolism
YLR299W	1100	Metabolic pathways
YLR300W	500	Starch and sucrose metabolism
tL(UAG)L2	970	Aminoacyl-tRNA biosynthesis
YLR303W	270	Cysteine and methionine metabolism
YLR303W	920	Sulfur metabolism
YLR303W	1100	Metabolic pathways
tI(AAU)L1	970	Aminoacyl-tRNA biosynthesis
YLR304C	20	Citrate cycle (TCA cycle)
YLR304C	630	Glyoxylate and dicarboxylate metabolism
YLR304C	1100	Metabolic pathways
YLR304C	1110	Biosynthesis of secondary metabolites
YLR305C	562	Inositol phosphate metabolism
YLR305C	1100	Metabolic pathways
YLR305C	4070	Phosphatidylinositol signaling system
YLR306W	4120	Ubiquitin mediated proteolysis
YLR307W	520	Amino sugar and nucleotide sugar metabolism
YLR308W	520	Amino sugar and nucleotide sugar metabolism
YLR325C	3010	Ribosome
YLR328W	760	Nicotinate and nicotinamide metabolism
YLR328W	1100	Metabolic pathways
YLR332W	4011	MAPK signaling pathway - yeast
tD(GUC)L2	970	Aminoacyl-tRNA biosynthesis
YLR333C	3010	Ribosome
tE(UUC)L	970	Aminoacyl-tRNA biosynthesis
YLR340W	3010	Ribosome
YLR342W	500	Starch and sucrose metabolism
YLR342W	4011	MAPK signaling pathway - yeast
tR(CCG)L	970	Aminoacyl-tRNA biosynthesis
YLR344W	3010	Ribosome
YLR345W	51	Fructose and mannose metabolism
YLR347C	3013	RNA transport
YLR354C	30	Pentose phosphate pathway
YLR354C	1100	Metabolic pathways
YLR354C	1110	Biosynthesis of secondary metabolites
YLR355C	290	Valine, leucine and isoleucine biosynthesis
YLR355C	770	Pantothenate and CoA biosynthesis
YLR355C	1100	Metabolic pathways
YLR355C	1110	Biosynthesis of secondary metabolites
YLR359W	230	Purine metabolism
YLR359W	250	Alanine, aspartate and glutamate metabolism
YLR359W	1100	Metabolic pathways
YLR359W	1110	Biosynthesis of secondary metabolites
YLR362W	4011	MAPK signaling pathway - yeast
YLR367W	3010	Ribosome
YLR372W	1040	Biosynthesis of unsaturated fatty acids
YLR377C	10	Glycolysis / Gluconeogenesis
YLR377C	30	Pentose phosphate pathway
YLR377C	51	Fructose and mannose metabolism
YLR377C	680	Methane metabolism
YLR377C	1100	Metabolic pathways
YLR377C	1110	Biosynthesis of secondary metabolites
tK(UUU)L	970	Aminoacyl-tRNA biosynthesis
YLR378C	3060	Protein export
YLR378C	4141	Protein processing in endoplasmic reticulum
YLR378C	4145	Phagosome
YLR382C	290	Valine, leucine and isoleucine biosynthesis
YLR382C	970	Aminoacyl-tRNA biosynthesis
YLR388W	3010	Ribosome
YLR395C	190	Oxidative phosphorylation
YLR395C	1100	Metabolic pathways
YLR397C	3008	Ribosome biogenesis in eukaryotes
YLR398C	3018	RNA degradation
YLR406C	3010	Ribosome
YLR409C	3008	Ribosome biogenesis in eukaryotes
YLR417W	4144	Endocytosis
tL(UAA)L	970	Aminoacyl-tRNA biosynthesis
YLR420W	240	Pyrimidine metabolism
YLR420W	1100	Metabolic pathways
YLR421C	3050	Proteasome
YLR423C	4140	Regulation of autophagy
tN(GUU)L	970	Aminoacyl-tRNA biosynthesis
YLR432W	230	Purine metabolism
YLR432W	1100	Metabolic pathways
YLR432W	1110	Biosynthesis of secondary metabolites
YLR438W	330	Arginine and proline metabolism
YLR438W	1100	Metabolic pathways
YLR438W	1110	Biosynthesis of secondary metabolites
YLR438C-A	3018	RNA degradation
YLR438C-A	3040	Spliceosome
YLR441C	3010	Ribosome
YLR447C	190	Oxidative phosphorylation
YLR447C	1100	Metabolic pathways
YLR447C	4145	Phagosome
YLR448W	3010	Ribosome
YLR450W	900	Terpenoid backbone biosynthesis
YLR450W	1100	Metabolic pathways
YLR450W	1110	Biosynthesis of secondary metabolites
tI(AAU)L2	970	Aminoacyl-tRNA biosynthesis
YLR459W	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YLR459W	1100	Metabolic pathways
YML126C	72	Synthesis and degradation of ketone bodies
YML126C	280	Valine, leucine and isoleucine degradation
YML126C	650	Butanoate metabolism
YML126C	900	Terpenoid backbone biosynthesis
YML126C	1100	Metabolic pathways
YML126C	1110	Biosynthesis of secondary metabolites
YML120C	190	Oxidative phosphorylation
YML115C	513	Various types of N-glycan biosynthesis
YML115C	1100	Metabolic pathways
YML110C	130	Ubiquinone and other terpenoid-quinone biosynthesis
YML110C	1100	Metabolic pathways
YML110C	1110	Biosynthesis of secondary metabolites
YML106W	240	Pyrimidine metabolism
YML106W	1100	Metabolic pathways
YML105C	3060	Protein export
YML103C	3013	RNA transport
YML100W	500	Starch and sucrose metabolism
YML098W	3022	Basal transcription factors
YML095C	3420	Nucleotide excision repair
YML093W	3008	Ribosome biogenesis in eukaryotes
YML092C	3050	Proteasome
YML085C	4145	Phagosome
YML082W	270	Cysteine and methionine metabolism
YML082W	450	Selenocompound metabolism
YML082W	920	Sulfur metabolism
YML082W	1100	Metabolic pathways
YML082W	1110	Biosynthesis of secondary metabolites
YML081C-A	190	Oxidative phosphorylation
YML081C-A	1100	Metabolic pathways
YML075C	900	Terpenoid backbone biosynthesis
YML075C	1100	Metabolic pathways
YML075C	1110	Biosynthesis of secondary metabolites
YML073C	3010	Ribosome
tR(UCU)M2	970	Aminoacyl-tRNA biosynthesis
YML070W	561	Glycerolipid metabolism
YML070W	680	Methane metabolism
YML070W	1100	Metabolic pathways
YML065W	4111	Cell cycle - yeast
YML065W	4113	Meiosis - yeast
YML064C	4111	Cell cycle - yeast
YML063W	3010	Ribosome
YML060W	3410	Base excision repair
YML056C	230	Purine metabolism
YML056C	1100	Metabolic pathways
YML056C	1110	Biosynthesis of secondary metabolites
YML055W	3060	Protein export
YML054C	620	Pyruvate metabolism
YML054C	1100	Metabolic pathways
tY(GUA)M1	970	Aminoacyl-tRNA biosynthesis
YML049C	3040	Spliceosome
tG(GCC)M	970	Aminoacyl-tRNA biosynthesis
YML042W	4146	Peroxisome
tP(UGG)M	970	Aminoacyl-tRNA biosynthesis
YML035C	230	Purine metabolism
YML035C	1100	Metabolic pathways
YML035C	1110	Biosynthesis of secondary metabolites
YML032C	3440	Homologous recombination
YML031W	3013	RNA transport
YML029W	4141	Protein processing in endoplasmic reticulum
YML027W	4111	Cell cycle - yeast
YML026C	3010	Ribosome
YML024W	3010	Ribosome
YML022W	230	Purine metabolism
YML022W	1100	Metabolic pathways
YML021C	3410	Base excision repair
YML019W	510	N-Glycan biosynthesis
YML019W	513	Various types of N-glycan biosynthesis
YML019W	1100	Metabolic pathways
YML019W	4141	Protein processing in endoplasmic reticulum
YML015C	3022	Basal transcription factors
YML013W	4141	Protein processing in endoplasmic reticulum
YML008C	100	Steroid biosynthesis
YML008C	1100	Metabolic pathways
YML008C	1110	Biosynthesis of secondary metabolites
tS(AGA)M	970	Aminoacyl-tRNA biosynthesis
YML004C	620	Pyruvate metabolism
YML004C	4011	MAPK signaling pathway - yeast
YML001W	4144	Endocytosis
YML001W	4145	Phagosome
YMR001C	4111	Cell cycle - yeast
YMR001C	4113	Meiosis - yeast
YMR006C	564	Glycerophospholipid metabolism
YMR008C	564	Glycerophospholipid metabolism
YMR009W	270	Cysteine and methionine metabolism
YMR009W	1100	Metabolic pathways
YMR011W	4113	Meiosis - yeast
tE(UUC)M	970	Aminoacyl-tRNA biosynthesis
YMR013C	510	N-Glycan biosynthesis
YMR013C	1100	Metabolic pathways
YMR015C	100	Steroid biosynthesis
YMR015C	1100	Metabolic pathways
YMR016C	4113	Meiosis - yeast
YMR017W	4130	SNARE interactions in vesicular transport
YMR022W	4120	Ubiquitin mediated proteolysis
YMR022W	4141	Protein processing in endoplasmic reticulum
tA(AGC)M1	970	Aminoacyl-tRNA biosynthesis
YMR026C	4146	Peroxisome
YMR035W	3060	Protein export
YMR036C	4111	Cell cycle - yeast
YMR037C	4011	MAPK signaling pathway - yeast
YMR037C	4113	Meiosis - yeast
tF(GAA)M	970	Aminoacyl-tRNA biosynthesis
YMR043W	4011	MAPK signaling pathway - yeast
YMR043W	4111	Cell cycle - yeast
tH(GUG)M	970	Aminoacyl-tRNA biosynthesis
YMR047C	3013	RNA transport
tV(AAC)M1	970	Aminoacyl-tRNA biosynthesis
tW(CCA)M	970	Aminoacyl-tRNA biosynthesis
YMR054W	190	Oxidative phosphorylation
YMR054W	1100	Metabolic pathways
YMR054W	4145	Phagosome
YMR055C	4111	Cell cycle - yeast
YMR061W	3015	mRNA surveillance pathway
YMR062C	330	Arginine and proline metabolism
YMR062C	1100	Metabolic pathways
YMR062C	1110	Biosynthesis of secondary metabolites
tV(AAC)M2	970	Aminoacyl-tRNA biosynthesis
YMR077C	4144	Endocytosis
YMR080C	3013	RNA transport
YMR080C	3015	mRNA surveillance pathway
YMR083W	10	Glycolysis / Gluconeogenesis
YMR083W	71	Fatty acid degradation
YMR083W	350	Tyrosine metabolism
YMR083W	1100	Metabolic pathways
YMR083W	1110	Biosynthesis of secondary metabolites
YMR093W	3008	Ribosome biogenesis in eukaryotes
YMR095C	750	Vitamin B6 metabolism
YMR096W	750	Vitamin B6 metabolism
tD(GUC)M	970	Aminoacyl-tRNA biosynthesis
YMR099C	10	Glycolysis / Gluconeogenesis
YMR099C	1100	Metabolic pathways
YMR099C	1110	Biosynthesis of secondary metabolites
YMR101C	900	Terpenoid backbone biosynthesis
YMR101C	1110	Biosynthesis of secondary metabolites
YMR105C	10	Glycolysis / Gluconeogenesis
YMR105C	30	Pentose phosphate pathway
YMR105C	52	Galactose metabolism
YMR105C	230	Purine metabolism
YMR105C	500	Starch and sucrose metabolism
YMR105C	520	Amino sugar and nucleotide sugar metabolism
YMR105C	1100	Metabolic pathways
YMR105C	1110	Biosynthesis of secondary metabolites
YMR106C	3450	Non-homologous end-joining
tK(CUU)M	970	Aminoacyl-tRNA biosynthesis
YMR108W	290	Valine, leucine and isoleucine biosynthesis
YMR108W	650	Butanoate metabolism
YMR108W	770	Pantothenate and CoA biosynthesis
YMR108W	1100	Metabolic pathways
YMR108W	1110	Biosynthesis of secondary metabolites
YMR113W	790	Folate biosynthesis
YMR113W	1100	Metabolic pathways
YMR118C	20	Citrate cycle (TCA cycle)
YMR118C	190	Oxidative phosphorylation
YMR118C	1100	Metabolic pathways
YMR118C	1110	Biosynthesis of secondary metabolites
tL(CAA)M	970	Aminoacyl-tRNA biosynthesis
YMR120C	230	Purine metabolism
YMR120C	670	One carbon pool by folate
YMR120C	1100	Metabolic pathways
YMR120C	1110	Biosynthesis of secondary metabolites
YMR121C	3010	Ribosome
YMR125W	3013	RNA transport
YMR125W	3015	mRNA surveillance pathway
YMR125W	3040	Spliceosome
YMR139W	4113	Meiosis - yeast
YMR142C	3010	Ribosome
YMR143W	3010	Ribosome
YMR145C	190	Oxidative phosphorylation
YMR146C	3013	RNA transport
YMR149W	510	N-Glycan biosynthesis
YMR149W	513	Various types of N-glycan biosynthesis
YMR149W	1100	Metabolic pathways
YMR149W	4141	Protein processing in endoplasmic reticulum
YMR150C	3060	Protein export
tM(CAU)M	970	Aminoacyl-tRNA biosynthesis
YMR159C	4140	Regulation of autophagy
YMR161W	4141	Protein processing in endoplasmic reticulum
tV(AAC)M3	970	Aminoacyl-tRNA biosynthesis
YMR167W	3430	Mismatch repair
YMR169C	10	Glycolysis / Gluconeogenesis
YMR169C	340	Histidine metabolism
YMR169C	350	Tyrosine metabolism
YMR169C	360	Phenylalanine metabolism
YMR169C	1100	Metabolic pathways
YMR170C	10	Glycolysis / Gluconeogenesis
YMR170C	340	Histidine metabolism
YMR170C	350	Tyrosine metabolism
YMR170C	360	Phenylalanine metabolism
YMR170C	1100	Metabolic pathways
YMR183C	4130	SNARE interactions in vesicular transport
YMR186W	4141	Protein processing in endoplasmic reticulum
YMR189W	260	Glycine, serine and threonine metabolism
YMR189W	1100	Metabolic pathways
YMR190C	3440	Homologous recombination
YMR194W	3010	Ribosome
YMR197C	4130	SNARE interactions in vesicular transport
YMR199W	4111	Cell cycle - yeast
YMR201C	3420	Nucleotide excision repair
YMR202W	100	Steroid biosynthesis
YMR202W	1100	Metabolic pathways
YMR205C	10	Glycolysis / Gluconeogenesis
YMR205C	30	Pentose phosphate pathway
YMR205C	51	Fructose and mannose metabolism
YMR205C	52	Galactose metabolism
YMR205C	680	Methane metabolism
YMR205C	1100	Metabolic pathways
YMR205C	1110	Biosynthesis of secondary metabolites
YMR208W	900	Terpenoid backbone biosynthesis
YMR208W	1100	Metabolic pathways
YMR208W	1110	Biosynthesis of secondary metabolites
YMR208W	4146	Peroxisome
YMR213W	3040	Spliceosome
YMR214W	4141	Protein processing in endoplasmic reticulum
YMR217W	230	Purine metabolism
YMR217W	1100	Metabolic pathways
YMR220W	900	Terpenoid backbone biosynthesis
YMR220W	1100	Metabolic pathways
YMR220W	1110	Biosynthesis of secondary metabolites
YMR224C	3440	Homologous recombination
YMR224C	3450	Non-homologous end-joining
YMR227C	3022	Basal transcription factors
YMR230W	3010	Ribosome
YMR234W	3030	DNA replication
YMR235C	3013	RNA transport
YMR236W	3022	Basal transcription factors
tR(UCU)M1	970	Aminoacyl-tRNA biosynthesis
YMR239C	3008	Ribosome biogenesis in eukaryotes
YMR240C	3040	Spliceosome
YMR242C	3010	Ribosome
YMR246W	71	Fatty acid degradation
YMR246W	1100	Metabolic pathways
YMR246W	4146	Peroxisome
tA(AGC)M2	970	Aminoacyl-tRNA biosynthesis
YMR250W	250	Alanine, aspartate and glutamate metabolism
YMR250W	410	beta-Alanine metabolism
YMR250W	430	Taurine and hypotaurine metabolism
YMR250W	650	Butanoate metabolism
YMR250W	1100	Metabolic pathways
YMR250W	1110	Biosynthesis of secondary metabolites
YMR256C	190	Oxidative phosphorylation
YMR256C	1100	Metabolic pathways
YMR260C	3013	RNA transport
YMR261C	500	Starch and sucrose metabolism
YMR264W	4141	Protein processing in endoplasmic reticulum
YMR267W	190	Oxidative phosphorylation
YMR271C	240	Pyrimidine metabolism
YMR271C	1100	Metabolic pathways
tQ(CUG)M	970	Aminoacyl-tRNA biosynthesis
YMR276W	4141	Protein processing in endoplasmic reticulum
YMR278W	10	Glycolysis / Gluconeogenesis
YMR278W	30	Pentose phosphate pathway
YMR278W	52	Galactose metabolism
YMR278W	230	Purine metabolism
YMR278W	500	Starch and sucrose metabolism
YMR278W	520	Amino sugar and nucleotide sugar metabolism
YMR278W	1100	Metabolic pathways
YMR278W	1110	Biosynthesis of secondary metabolites
YMR281W	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YMR281W	1100	Metabolic pathways
tY(GUA)M2	970	Aminoacyl-tRNA biosynthesis
YMR284W	3450	Non-homologous end-joining
YMR293C	970	Aminoacyl-tRNA biosynthesis
YMR293C	1100	Metabolic pathways
YMR296C	600	Sphingolipid metabolism
YMR296C	1100	Metabolic pathways
YMR300C	230	Purine metabolism
YMR300C	250	Alanine, aspartate and glutamate metabolism
YMR300C	1100	Metabolic pathways
YMR300C	1110	Biosynthesis of secondary metabolites
YMR301C	2010	ABC transporters
YMR303C	10	Glycolysis / Gluconeogenesis
YMR303C	71	Fatty acid degradation
YMR303C	350	Tyrosine metabolism
YMR303C	1100	Metabolic pathways
YMR303C	1110	Biosynthesis of secondary metabolites
YMR306W	500	Starch and sucrose metabolism
YMR309C	3013	RNA transport
YMR314W	3050	Proteasome
YMR318C	10	Glycolysis / Gluconeogenesis
YMR318C	561	Glycerolipid metabolism
YMR318C	1100	Metabolic pathways
YMR318C	1110	Biosynthesis of secondary metabolites
YMR323W	10	Glycolysis / Gluconeogenesis
YMR323W	680	Methane metabolism
YMR323W	1100	Metabolic pathways
YMR323W	1110	Biosynthesis of secondary metabolites
YMR323W	3018	RNA degradation
YNL334C	750	Vitamin B6 metabolism
YNL331C	51	Fructose and mannose metabolism
YNL331C	650	Butanoate metabolism
YNL331C	1100	Metabolic pathways
YNL329C	4146	Peroxisome
YNL316C	400	Phenylalanine, tyrosine and tryptophan biosynthesis
YNL316C	1100	Metabolic pathways
YNL316C	1110	Biosynthesis of secondary metabolites
YNL312W	3030	DNA replication
YNL312W	3420	Nucleotide excision repair
YNL312W	3430	Mismatch repair
YNL312W	3440	Homologous recombination
YNL302C	3010	Ribosome
YNL301C	3010	Ribosome
YNL299W	3018	RNA degradation
YNL290W	3030	DNA replication
YNL290W	3420	Nucleotide excision repair
YNL290W	3430	Mismatch repair
YNL289W	4111	Cell cycle - yeast
YNL288W	3018	RNA degradation
tG(UCC)N	970	Aminoacyl-tRNA biosynthesis
tN(GUU)N1	970	Aminoacyl-tRNA biosynthesis
tT(AGU)N1	970	Aminoacyl-tRNA biosynthesis
YNL283C	4011	MAPK signaling pathway - yeast
YNL282W	3008	Ribosome biogenesis in eukaryotes
YNL282W	3013	RNA transport
YNL280C	100	Steroid biosynthesis
YNL280C	1100	Metabolic pathways
YNL280C	1110	Biosynthesis of secondary metabolites
YNL278W	3018	RNA degradation
YNL277W	270	Cysteine and methionine metabolism
YNL277W	920	Sulfur metabolism
YNL277W	1100	Metabolic pathways
YNL271C	4011	MAPK signaling pathway - yeast
YNL267W	562	Inositol phosphate metabolism
YNL267W	1100	Metabolic pathways
YNL267W	4070	Phosphatidylinositol signaling system
YNL262W	230	Purine metabolism
YNL262W	240	Pyrimidine metabolism
YNL262W	1100	Metabolic pathways
YNL262W	3030	DNA replication
YNL262W	3410	Base excision repair
YNL262W	3420	Nucleotide excision repair
YNL261W	4111	Cell cycle - yeast
YNL261W	4113	Meiosis - yeast
YNL256W	790	Folate biosynthesis
YNL256W	1100	Metabolic pathways
YNL253W	3013	RNA transport
YNL253W	3040	Spliceosome
YNL250W	3440	Homologous recombination
YNL250W	3450	Non-homologous end-joining
YNL248C	230	Purine metabolism
YNL248C	240	Pyrimidine metabolism
YNL248C	1100	Metabolic pathways
YNL248C	3020	RNA polymerase
YNL247W	970	Aminoacyl-tRNA biosynthesis
YNL244C	3013	RNA transport
YNL241C	30	Pentose phosphate pathway
YNL241C	480	Glutathione metabolism
YNL241C	1100	Metabolic pathways
YNL241C	1110	Biosynthesis of secondary metabolites
YNL232W	3018	RNA degradation
YNL229C	480	Glutathione metabolism
YNL223W	4140	Regulation of autophagy
YNL221C	3008	Ribosome biogenesis in eukaryotes
YNL221C	3013	RNA transport
YNL220W	230	Purine metabolism
YNL220W	250	Alanine, aspartate and glutamate metabolism
YNL220W	1100	Metabolic pathways
YNL219C	510	N-Glycan biosynthesis
YNL219C	513	Various types of N-glycan biosynthesis
YNL219C	1100	Metabolic pathways
YNL207W	3008	Ribosome biogenesis in eukaryotes
YNL202W	4146	Peroxisome
YNL192W	520	Amino sugar and nucleotide sugar metabolism
YNL178W	3010	Ribosome
YNL172W	4111	Cell cycle - yeast
YNL172W	4113	Meiosis - yeast
YNL172W	4120	Ubiquitin mediated proteolysis
YNL169C	564	Glycerophospholipid metabolism
YNL169C	1100	Metabolic pathways
YNL163C	3008	Ribosome biogenesis in eukaryotes
YNL162W	3010	Ribosome
YNL154C	3008	Ribosome biogenesis in eukaryotes
YNL151C	230	Purine metabolism
YNL151C	240	Pyrimidine metabolism
YNL151C	1100	Metabolic pathways
YNL151C	3020	RNA polymerase
YNL147W	3018	RNA degradation
YNL147W	3040	Spliceosome
YNL145W	4011	MAPK signaling pathway - yeast
YNL141W	230	Purine metabolism
YNL141W	1100	Metabolic pathways
YNL139C	3013	RNA transport
YNL139C	3040	Spliceosome
YNL138W-A	3040	Spliceosome
tF(GAA)N	970	Aminoacyl-tRNA biosynthesis
YNL132W	3008	Ribosome biogenesis in eukaryotes
YNL130C	564	Glycerophospholipid metabolism
YNL130C	565	Ether lipid metabolism
YNL130C	1100	Metabolic pathways
YNL119W	4122	Sulfur relay system
YNL118C	3018	RNA degradation
YNL117W	620	Pyruvate metabolism
YNL117W	630	Glyoxylate and dicarboxylate metabolism
YNL117W	1100	Metabolic pathways
YNL113W	230	Purine metabolism
YNL113W	240	Pyrimidine metabolism
YNL113W	1100	Metabolic pathways
YNL113W	3020	RNA polymerase
YNL112W	3040	Spliceosome
YNL106C	562	Inositol phosphate metabolism
YNL106C	1100	Metabolic pathways
YNL106C	4070	Phosphatidylinositol signaling system
YNL104C	290	Valine, leucine and isoleucine biosynthesis
YNL104C	620	Pyruvate metabolism
YNL104C	1100	Metabolic pathways
YNL104C	1110	Biosynthesis of secondary metabolites
YNL102W	230	Purine metabolism
YNL102W	240	Pyrimidine metabolism
YNL102W	1100	Metabolic pathways
YNL102W	3030	DNA replication
YNL098C	4011	MAPK signaling pathway - yeast
YNL098C	4113	Meiosis - yeast
tL(CAA)N	970	Aminoacyl-tRNA biosynthesis
YNL096C	3010	Ribosome
YNL081C	3010	Ribosome
YNL075W	3008	Ribosome biogenesis in eukaryotes
YNL073W	970	Aminoacyl-tRNA biosynthesis
YNL072W	3030	DNA replication
YNL071W	10	Glycolysis / Gluconeogenesis
YNL071W	20	Citrate cycle (TCA cycle)
YNL071W	620	Pyruvate metabolism
YNL071W	1100	Metabolic pathways
YNL071W	1110	Biosynthesis of secondary metabolites
YNL069C	3010	Ribosome
YNL067W	3010	Ribosome
YNL064C	4141	Protein processing in endoplasmic reticulum
YNL053W	4011	MAPK signaling pathway - yeast
YNL052W	190	Oxidative phosphorylation
YNL052W	1100	Metabolic pathways
YNL048W	510	N-Glycan biosynthesis
YNL048W	513	Various types of N-glycan biosynthesis
YNL048W	1100	Metabolic pathways
YNL045W	590	Arachidonic acid metabolism
YNL045W	1100	Metabolic pathways
tP(UGG)N1	970	Aminoacyl-tRNA biosynthesis
YNL038W	563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
YNL038W	1100	Metabolic pathways
YNL037C	20	Citrate cycle (TCA cycle)
YNL037C	1100	Metabolic pathways
YNL037C	1110	Biosynthesis of secondary metabolites
tT(AGU)N2	970	Aminoacyl-tRNA biosynthesis
tP(UGG)N2	970	Aminoacyl-tRNA biosynthesis
tI(AAU)N1	970	Aminoacyl-tRNA biosynthesis
tI(AAU)N2	970	Aminoacyl-tRNA biosynthesis
YNL009W	20	Citrate cycle (TCA cycle)
YNL009W	480	Glutathione metabolism
YNL009W	1100	Metabolic pathways
YNL009W	1110	Biosynthesis of secondary metabolites
YNL009W	4146	Peroxisome
YNL002C	3010	Ribosome
YNL001W	3015	mRNA surveillance pathway
YNR001C	20	Citrate cycle (TCA cycle)
YNR001C	630	Glyoxylate and dicarboxylate metabolism
YNR001C	1100	Metabolic pathways
YNR001C	1110	Biosynthesis of secondary metabolites
tP(AGG)N	970	Aminoacyl-tRNA biosynthesis
tN(GUU)N2	970	Aminoacyl-tRNA biosynthesis
YNR003C	230	Purine metabolism
YNR003C	240	Pyrimidine metabolism
YNR003C	1100	Metabolic pathways
YNR003C	3020	RNA polymerase
YNR006W	4144	Endocytosis
YNR006W	4145	Phagosome
YNR007C	4140	Regulation of autophagy
YNR008W	561	Glycerolipid metabolism
YNR011C	3040	Spliceosome
YNR012W	240	Pyrimidine metabolism
YNR012W	1100	Metabolic pathways
YNR016C	61	Fatty acid biosynthesis
YNR016C	620	Pyruvate metabolism
YNR016C	640	Propanoate metabolism
YNR016C	1100	Metabolic pathways
YNR019W	100	Steroid biosynthesis
YNR024W	3018	RNA degradation
YNR027W	750	Vitamin B6 metabolism
YNR027W	1100	Metabolic pathways
YNR030W	510	N-Glycan biosynthesis
YNR030W	513	Various types of N-glycan biosynthesis
YNR030W	1100	Metabolic pathways
YNR031C	4011	MAPK signaling pathway - yeast
YNR033W	790	Folate biosynthesis
YNR034W	30	Pentose phosphate pathway
YNR034W	1100	Metabolic pathways
YNR034W	1110	Biosynthesis of secondary metabolites
YNR041C	130	Ubiquinone and other terpenoid-quinone biosynthesis
YNR041C	1100	Metabolic pathways
YNR041C	1110	Biosynthesis of secondary metabolites
YNR043W	900	Terpenoid backbone biosynthesis
YNR043W	1100	Metabolic pathways
YNR043W	1110	Biosynthesis of secondary metabolites
YNR050C	300	Lysine biosynthesis
YNR050C	310	Lysine degradation
YNR050C	1100	Metabolic pathways
YNR050C	1110	Biosynthesis of secondary metabolites
YNR052C	3018	RNA degradation
YNR053C	3008	Ribosome biogenesis in eukaryotes
tL(UAA)N	970	Aminoacyl-tRNA biosynthesis
YNR057C	780	Biotin metabolism
YNR057C	1100	Metabolic pathways
YNR058W	780	Biotin metabolism
YNR058W	1100	Metabolic pathways
YNR072W	4113	Meiosis - yeast
YOL157C	52	Galactose metabolism
YOL157C	500	Starch and sucrose metabolism
YOL157C	1100	Metabolic pathways
YOL156W	4113	Meiosis - yeast
YOL149W	3018	RNA degradation
YOL143C	740	Riboflavin metabolism
YOL143C	1100	Metabolic pathways
YOL142W	3018	RNA degradation
YOL140W	330	Arginine and proline metabolism
YOL140W	1100	Metabolic pathways
YOL140W	1110	Biosynthesis of secondary metabolites
YOL139C	3013	RNA transport
YOL136C	51	Fructose and mannose metabolism
YOL133W	3420	Nucleotide excision repair
YOL133W	4111	Cell cycle - yeast
